Q241,DOB,Sex,HE,Nation,Relig,M_Relig,F_Relig,Q36,S_G1_A_1,S_G1_R_1,S_G1_I_1,S_G2_A_1,S_G2_R_1,S_G2_I_1,S_G3_A_1,S_G3_R_1,S_G3_I_1,S_G4_A_1,S_G4_R_1,S_G4_I_1,S_G5_A_1,S_G5_R_1,S_G5_I_1,S_S1_A_1,S_S1_R_1,S_S1_I_1,S_S2_A_1,S_S2_R_1,S_S2_I_1,S_S3_A_1,S_S3_R_1,S_S3_I_1,S_S4_A_1,S_S4_R_1,S_S4_I_1,S_S5_A_1,S_S5_R_1,S_S5_I_1,R_G1_A_1,R_G1_R_1,R_G1_I_1,R_G2_A_1,R_G2_R_1,R_G2_I_1,R_G3_A_1,R_G3_R_1,R_G3_I_1,R_G4_A_1,R_G4_R_1,R_G4_I_1,R_G5_A_1,R_G5_R_1,R_G5_I_1,R_S1_A_1,R_S1_R_1,R_S1_I_1,R_S2_A_1,R_S2_R_1,R_S2_I_1,R_S3_A_1,R_S3_R_1,R_S3_I_1,R_S4_A_1,R_S4_R_1,R_S4_I_1,R_S5_A_1,R_S5_R_1,R_S5_I_1,P_G1_A_1,P_G1_R_1,P_G1_I_1,P_G2_A_1,P_G2_R_1,P_G2_I_1,P_G3_A_1,P_G3_R_1,P_G3_I_1,P_G4_A_1,P_G4_R_1,P_G4_I_1,P_G5_A_1,P_G5_R_1,P_G5_I_1,P_S1_A_1,P_S1_R_1,P_S1_I_1,P_S2_A_1,P_S2_R_1,P_S2_I_1,P_S3_A_1,P_S3_R_1,P_S3_I_1,P_S4_A_1,P_S4_R_1,P_S4_I_1,P_S5_A_1,P_S5_R_1,P_S5_I_1,Pol_S1_A_1,Pol_S1_R_1,Pol_S1_I_1,Pol_S2_A_1,Pol_S2_R_1,Pol_S2_I_1,Pol_S3_A_1,Pol_S3_R_1,Pol_S3_I_1,Pol_S4_A_1,Pol_S4_R_1,Pol_S4_I_1,Pol_S5_A_1,Pol_S5_R_1,Pol_S5_I_1,Pol_G1_A_1,Pol_G1_R_1,Pol_G1_I_1,Pol_G2_A_1,Pol_G2_R_1,Pol_G2_I_1,Pol_G3_A_1,Pol_G3_R_1,Pol_G3_I_1,Pol_G4_A_1,Pol_G4_R_1,Pol_G4_I_1,Pol_G5_A_1,Pol_G5_R_1,Pol_G5_I_1,M_G1_A_1,M_G1_R_1,M_G1_I_1,M_G2_A_1,M_G2_R_1,M_G2_I_1,M_G3_A_1,M_G3_R_1,M_G3_I_1,M_G4_A_1,M_G4_R_1,M_G4_I_1,M_G5_r_A_1,M_G5_r_R_1,M_G5_r_I_1,M_S1_A_1,M_S1_R_1,M_S1_I_1,M_S2_r_A_1,M_S2_r_R_1,M_S2_r_I_1,M_S3_A_1,M_S3_R_1,M_S3_I_1,M_S4_r_A_1,M_S4_r_R_1,M_S4_r_I_1,M_S5_A_1,M_S5_R_1,M_S5_I_1,C_1_A_1,C_1_R_1,C_1_I_1,C_2_A_1,C_2_R_1,C_2_I_1,C_3_A_1,C_3_R_1,C_3_I_1,C_4_A_1,C_4_R_1,C_4_I_1,C_5_A_1,C_5_R_1,C_5_I_1
5aae420ec4e8f200014b3d4e,31-35,Female,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Atheist,Christian,Christian,SNP,2,7,7,3,7,6,9,9,9,10,10,10,10,10,10,10,10,6,10,8,8,10,10,10,0,0,0,10,10,10,0,0,0,0,0,0,10,10,10,10,4,3,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,6,7,10,10,10,10,6,10,10,9,10,3,3,6,9,8,8,7,6,4,3,6,6,8,10,8,7,8,7,0,6,7,0,8,6,0,7,3,8,6,4,10,6,6,0,10,6,4,2,1,0,8,8,3,6,4,3,6,4,10,10,7,10,10,4,10,7,6,3,6,6,10,5,5
59e89fc90fb3a90001bd9999,31-35,Female,High School Diploma/A levels/BTEC/ IB or equivalent,White: English/Welsh/Scottish/Northern Irish/British,Atheist,Agnostic,Agnostic,Labour,3,6,3,7,3,5,8,3,4,5,7,3,9,6,8,10,8,3,10,4,5,7,3,7,7,3,3,8,4,3,3,3,5,0,6,3,1,2,3,10,6,1,4,6,4,3,6,2,0,0,0,1,3,4,0,0,0,8,7,3,0,3,8,2,6,3,0,3,1,0,0,0,3,4,3,0,1,0,2,4,2,0,0,0,0,1,2,0,7,2,10,5,8,10,7,4,10,5,4,10,7,7,8,7,7,8,4,7,9,3,6,3,3,3,3,4,3,10,9,9,0,2,8,0,6,6,0,0,2,4,4,3,10,7,8,0,2,7,10,8,8,0,6,6,8,4,3,0,7,2,0,6,2,10,3,3,10,2,7,10,5,6,10,5,2
5641193817bdbe00122a0f23,26-30,Female,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Atheist,Agnostic,Agnostic,Labour,0,10,10,10,10,10,5,6,8,8,7,10,10,10,10,8,6,7,9,3,8,8,10,10,0,3,8,10,10,10,0,7,8,0,10,10,1,8,9,10,10,10,0,10,10,0,10,10,0,3,10,0,10,10,0,10,10,0,10,10,0,3,10,0,3,2,0,3,7,0,0,7,0,3,7,0,0,0,0,3,4,0,4,3,0,10,10,0,3,10,10,6,10,10,10,10,10,3,6,10,10,10,0,10,10,10,10,10,10,10,10,0,7,9,10,10,10,0,10,10,0,10,10,0,10,10,0,10,10,0,7,9,10,10,10,0,6,6,10,7,7,2,3,3,7,4,4,4,4,3,10,10,10,10,1,3,10,3,3,5,7,7,10,3,2
5aeabb67ba2926000102f644,18-25,Male,High/Secondary School/GCEs or equivalent,White: English/Welsh/Scottish/Northern Irish/British,Atheist,Atheist,Christian,Labour,3,7,10,10,8,9,10,7,8,10,10,10,10,4,7,10,10,10,10,10,10,10,10,10,0,2,1,10,10,10,0,6,7,0,7,6,5,5,7,10,10,10,4,3,5,0,3,7,0,2,1,0,8,8,0,10,8,0,10,10,0,5,5,0,1,1,0,3,0,0,0,0,0,0,7,1,1,1,0,2,1,0,0,0,0,0,0,0,1,1,10,6,10,10,10,10,10,10,10,10,10,10,2,0,7,8,8,7,3,8,10,3,7,10,10,10,10,2,3,7,0,8,10,0,10,6,3,3,3,5,7,3,8,3,3,5,0,0,5,0,0,0,4,8,10,10,10,0,3,3,10,10,10,10,5,10,10,10,10,7,1,7,10,0,0
,18-25,Male,"University Undergraduate Degree (e.g. BSc, BA, BEng)",Black/ African/ Caribbean/ Black British: African,Christian,Christian,Christian,Labour,8,9,10,3,1,3,7,7,7,1,3,1,7,7,7,10,10,10,7,7,6,7,7,7,5,6,6,1,1,4,8,8,8,7,9,10,10,10,10,0,0,0,9,9,9,8,9,7,7,8,8,4,4,7,7,7,8,7,7,7,6,7,7,6,6,6,4,4,3,7,7,9,4,3,9,2,1,7,1,1,1,3,3,2,3,3,1,4,3,3,6,6,7,6,7,6,8,6,5,10,10,10,6,6,6,10,10,10,8,8,9,6,6,7,3,3,4,6,5,4,0,0,0,0,0,0,5,5,6,6,6,7,10,10,10,2,4,4,0,0,0,0,0,0,3,2,3,3,3,2,1,3,1,10,10,10,9,8,9,8,7,6,5,6,8
5ab7bf3f1667e40001d7cd7d,26-30,Female,"Doctorate (e.g. PhD, MD)",Asian/ Asian British: Pakistani,Islamic,Islamic,Islamic,Labour,3,4,3,7,6,7,7,7,8,3,4,6,7,7,6,10,10,10,10,10,10,10,8,10,0,1,0,0,0,3,8,9,9,7,6,6,10,10,10,0,0,0,10,10,10,10,10,10,0,0,0,10,10,10,10,10,10,10,10,10,0,0,0,7,7,9,8,8,9,8,7,9,9,9,8,0,0,2,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,10,10,10,0,0,0,10,10,10,10,10,10,10,10,10,8,5,6,6,7,8,4,3,4,8,8,8,0,0,0,2,1,3,2,1,0,6,4,6,0,0,0,0,0,0,10,10,10,0,0,0,10,10,10,0,0,0,10,10,10,10,10,8,10,10,10,8,7,8,6,6,8
591f827501596e0001635aa4,31-35,Female,High/Secondary School/GCEs or equivalent,White: English/Welsh/Scottish/Northern Irish/British,Atheist,Christian,Atheist,Conservative,7,6,6,4,7,7,5,6,6,3,5,4,10,9,8,10,4,5,10,9,9,8,8,8,6,6,6,8,6,6,5,5,5,0,0,0,3,6,6,9,7,7,1,5,4,0,3,4,0,4,4,0,10,8,0,4,2,5,5,5,5,5,7,1,6,6,2,3,5,0,0,6,1,3,5,3,4,7,3,2,6,5,5,8,3,2,3,5,4,5,7,6,4,10,10,8,10,7,9,10,8,8,5,3,4,6,7,7,10,10,10,6,8,8,6,7,7,7,7,8,0,8,5,0,8,8,0,8,8,5,6,6,10,10,9,0,9,9,9,6,6,0,6,5,10,10,9,10,9,7,10,7,7,10,4,6,10,8,7,10,9,9,10,6,3
57a78015454e5400015f57ec,51-55,Male,"Masters Degree (e.g. MA, MSc, MSci)",White: Irish,Christian,Christian,Christian,Liberal democrat,10,7,8,7,6,6,5,5,5,8,7,7,9,9,9,10,8,8,7,7,7,10,9,9,7,5,5,5,6,6,10,9,9,9,8,8,8,9,9,0,8,8,10,9,9,9,9,9,9,7,8,2,6,6,9,9,9,10,10,10,7,5,5,3,7,6,8,6,6,4,4,4,6,6,6,4,0,0,6,3,2,2,4,3,3,0,0,0,0,0,3,8,8,10,10,10,4,3,3,10,6,6,7,7,7,9,9,9,9,9,9,1,2,0,8,8,7,5,7,7,0,8,8,0,0,0,0,8,8,1,8,8,10,7,7,4,4,4,9,4,4,2,7,8,2,6,5,3,4,2,10,5,5,10,7,8,10,8,8,9,8,8,10,5,5
5ad2989c5b53cb0001f34e1e,18-25,Male,High School Diploma/A levels/BTEC/ IB or equivalent,White: English/Welsh/Scottish/Northern Irish/British,Atheist,Atheist,Atheist,Conservative,5,5,8,9,8,8,5,8,9,7,7,7,10,10,8,10,2,5,10,10,10,10,10,10,0,0,0,10,10,10,0,0,0,0,0,0,3,5,7,8,2,0,0,3,6,2,0,0,0,0,0,5,5,5,2,7,7,2,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,8,9,10,10,10,10,10,8,10,6,3,7,5,8,8,8,9,8,5,8,8,5,7,7,6,5,5,0,10,8,0,0,0,0,8,8,5,5,5,10,10,10,0,8,7,7,5,1,0,10,8,9,1,1,0,8,7,10,10,8,10,3,5,10,10,10,10,10,10,10,5,3
5810f69c7d3e6d0001df29a5,61-64,Male,"University Undergraduate Degree (e.g. BSc, BA, BEng)",White: English/Welsh/Scottish/Northern Irish/British,Christian,Christian,Christian,Conservative,3,9,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,7,10,10,8,10,0,0,0,10,10,10,9,10,10,9,9,9,10,10,10,0,0,6,5,5,2,8,10,10,7,10,8,7,9,9,7,10,10,10,10,10,3,5,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,8,9,2,10,10,2,9,8,9,8,9,5,9,9,9,10,10,9,8,8,2,9,9,8,9,9,8,8,5,0,10,0,0,0,6,3,10,8,2,10,6,10,10,3,6,5,5,10,10,1,0,9,9,8,5,0,3,5,0,10,10,10,10,5,5,10,10,10,10,6,8,10,5,5
