m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,sex,age
2,2,2,3,2,2,2,2,3,1,0,2,2,2,2,2,,,,,,,,,,,,,,,,,2,29
2,2,2,4,2,3,1,1,2,2,1,1,3,1,,2,1,3,1,3,2,2,2,3,0,1,2,1,2,2,2,2,1,33
5,5,5,3,1,2,2,2,1,2,3,2,4,2,4,1,2,1,3,3,4,4,2,2,3,4,3,2,3,2,1,2,1,32
4,4,4,1,2,1,1,5,3,3,4,2,2,3,3,3,3,4,3,4,2,2,2,3,2,3,2,2,2,4,4,3,1,60
2,3,3,2,3,3,4,3,3,2,2,2,4,2,2,4,3,2,2,3,3,3,1,2,1,1,2,1,2,4,,4,2,28
4,3,4,4,4,3,1,5,4,1,4,4,4,5,5,4,,,,,,,,,,,,,,,,,2,24
2,3,2,1,4,3,2,3,3,3,0,1,2,2,1,2,2,5,3,2,1,4,2,4,0,2,2,0,1,3,,5,1,26
3,4,4,4,4,3,4,3,3,2,3,4,2,3,3,3,4,4,4,4,4,4,3,2,4,2,4,2,4,3,3,4,1,51
3,3,3,4,3,3,0,3,3,3,3,3,3,4,3,3,,,,,,,,,,,,,,,,,1,40
2,5,2,4,3,0,1,3,0,2,2,3,3,4,3,2,2,4,3,4,3,4,2,2,1,2,4,4,2,3,1,2,1,30
5,5,5,5,4,4,3,5,4,5,4,5,4,4,3,4,3,5,5,5,5,5,3,2,4,3,5,2,4,4,4,5,1,32
1,3,2,0,2,2,1,3,3,2,2,1,2,2,1,2,,,,,,,,,,,,,,,,,1,47
4,5,4,3,2,2,1,1,2,3,2,1,3,2,2,3,3,4,3,5,5,5,1,2,3,3,4,4,3,3,1,4,1,36
4,4,3,4,1,1,1,3,3,3,3,3,3,2,3,2,2,3,4,4,4,4,4,4,3,3,2,2,2,4,4,4,1,42
4,4,5,4,3,3,2,3,2,3,3,2,2,2,3,2,2,4,3,5,5,5,2,5,4,2,3,2,2,2,3,2,1,38
4,5,3,4,5,3,3,5,3,2,4,2,4,3,4,4,4,4,3,3,4,3,2,4,3,3,2,1,2,5,4,3,1,45
3,4,4,4,4,3,3,4,3,3,3,2,3,3,3,4,3,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,1,57
5,5,4,3,2,2,1,3,2,2,5,3,5,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,1,54
2,3,1,1,2,3,3,3,3,2,1,1,2,1,1,2,2,2,3,3,3,3,2,3,3,3,3,1,3,4,3,3,1,49
4,4,3,5,4,2,3,4,2,3,3,3,2,3,3,2,4,4,0,4,4,4,4,4,4,4,3,2,2,3,3,3,1,42
3,3,2,3,4,3,3,3,3,1,2,2,3,2,2,2,2,2,3,3,3,3,2,2,2,3,3,2,2,2,2,3,1,41
3,5,3,4,1,4,1,4,1,2,3,4,2,2,2,3,4,,3,3,5,2,2,2,2,2,1,2,3,3,3,4,1,51
4,4,3,3,3,2,3,3,3,4,5,4,5,5,5,4,,,,,,,,,,,,,,,,,1,32
5,5,4,4,4,1,1,0,2,2,5,4,4,4,4,5,3,4,5,5,3,4,3,3,4,4,5,4,4,3,3,5,1,56
1,4,1,3,5,2,2,3,3,1,1,1,3,1,1,1,1,5,5,5,5,5,1,2,,2,4,1,2,2,2,5,1,30
4,3,2,2,1,3,1,3,3,3,2,2,3,3,,1,1,2,3,2,3,2,2,1,3,2,1,1,1,3,2,2,1,53
3,3,1,3,3,3,1,2,4,3,4,1,4,2,3,4,4,3,4,5,4,4,2,3,5,2,2,2,4,0,1,3,2,47
2,3,2,2,1,2,2,0,2,1,2,2,2,2,3,0,2,2,2,4,3,2,2,4,2,2,2,1,2,2,2,2,1,56
5,5,4,4,0,2,0,0,1,4,3,4,4,3,4,5,4,3,4,4,5,4,2,4,4,3,4,2,4,4,4,5,2,48
4,5,4,2,2,3,2,1,2,,1,2,2,2,2,5,,,,,,,,,,,,,,,,,1,33
3,4,2,4,3,4,2,2,2,2,3,2,2,4,3,3,3,2,3,4,3,2,4,3,4,2,3,2,4,3,4,4,1,39
2,4,1,2,1,2,2,1,2,1,2,1,1,2,2,4,1,5,5,4,1,3,1,2,1,1,2,1,2,1,2,2,1,44
4,4,4,5,3,4,3,3,3,4,3,3,5,3,3,4,4,3,4,5,4,4,3,4,4,4,4,2,3,3,3,4,1,41
4,5,4,2,4,3,3,1,3,2,4,5,4,5,3,4,2,4,4,4,3,4,3,3,2,3,4,2,4,3,4,5,1,49
3,4,2,2,3,2,2,2,3,4,4,1,5,3,3,4,3,2,3,5,3,5,0,3,2,1,1,1,2,3,2,5,1,49
,2,5,2,1,3,3,4,4,3,2,3,3,,1,,2,2,3,1,1,1,3,2,2,2,,1,2,5,3,3,2,53
3,4,,3,4,1,2,2,3,2,2,2,3,2,1,2,2,3,3,3,2,3,1,1,1,,1,1,2,,,2,1,26
3,5,1,2,4,2,1,3,0,1,1,3,2,1,3,1,2,3,4,4,4,4,2,2,3,2,1,3,3,2,2,3,2,38
2,4,2,3,1,4,1,3,1,3,0,3,2,1,2,2,1,3,,,3,,3,3,,2,3,3,,,,,1,59
4,5,2,3,4,4,2,2,2,2,3,2,2,2,2,2,2,5,3,3,3,4,3,2,3,2,3,3,3,2,2,3,2,28
4,5,5,3,1,2,0,0,3,2,5,3,5,3,2,3,5,4,4,4,4,4,2,2,2,2,3,1,2,4,2,4,1,61
3,4,3,3,5,3,3,5,4,4,2,2,3,2,3,3,3,5,3,5,4,4,5,2,3,3,3,2,3,4,3,4,1,52
3,4,4,4,1,1,1,1,4,4,2,2,2,2,3,2,1,2,4,3,3,3,3,,2,3,2,1,3,3,,3,2,46
4,3,2,0,1,3,1,4,4,0,2,2,2,2,1,0,1,4,4,3,3,2,,1,1,1,1,0,1,1,1,1,1,43
2,3,3,3,1,1,1,3,4,2,2,1,2,1,2,3,2,2,5,3,4,4,2,2,2,3,3,1,2,2,3,3,1,52
2,3,3,2,1,2,1,0,1,2,2,2,3,2,3,2,2,3,3,4,3,3,2,2,2,2,2,2,2,2,2,3,1,56
3,4,,3,4,3,2,3,3,,,3,3,,,2,2,2,2,3,3,2,4,1,1,,3,1,3,,,4,1,26
2,2,2,3,3,3,1,4,3,4,4,4,4,3,1,3,1,5,2,5,5,3,2,2,1,1,2,0,2,4,,4,1,48
2,4,4,2,1,1,1,2,3,4,,2,2,2,4,4,4,3,4,4,4,4,3,3,2,,2,1,4,4,4,4,2,54
3,4,2,4,2,3,2,1,0,1,2,2,2,1,2,1,3,4,4,4,4,4,1,3,2,2,2,1,1,2,2,2,1,48
4,4,3,4,2,3,1,1,0,0,1,2,2,4,3,4,3,4,5,5,5,4,2,2,2,2,4,3,1,5,2,4,1,39
3,3,3,2,2,2,1,3,3,2,2,3,4,3,3,3,3,2,3,4,3,2,4,3,4,2,2,1,3,4,4,5,1,41
3,4,2,3,1,1,1,2,3,3,2,2,2,2,2,2,3,4,4,4,4,4,2,1,2,2,3,2,2,5,5,3,1,24
3,5,5,2,2,4,2,5,4,2,2,4,2,4,4,4,2,3,4,4,4,4,4,2,2,2,3,1,2,5,3,5,1,58
3,5,4,2,1,3,1,2,4,4,1,1,5,,2,4,2,5,2,3,5,4,0,2,1,1,4,1,2,2,0,0,1,28
5,2,3,2,0,2,1,2,2,3,2,1,3,4,3,2,4,3,4,5,4,4,4,4,4,5,4,3,3,4,4,4,1,76
5,5,2,4,4,5,2,3,2,3,,2,4,3,4,1,,5,5,4,4,4,2,,2,,2,1,2,2,2,3,2,40
3,3,3,4,5,3,4,3,3,3,3,4,2,4,3,2,4,3,4,5,4,5,4,4,4,3,5,3,4,4,3,5,1,56
5,5,,5,3,2,2,3,4,5,5,5,5,4,,5,5,2,3,3,0,1,3,5,5,5,3,2,3,5,5,4,2,22
2,4,1,2,5,2,1,3,4,5,2,3,5,1,2,3,1,3,1,1,2,5,0,2,1,0,3,2,4,5,5,4,1,21
3,4,4,4,2,4,1,3,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,5,4,4,4,4,3,4,4,1,48
2,2,5,2,2,3,1,4,5,5,1,3,5,3,2,,2,3,0,4,4,3,2,2,3,0,1,0,0,5,5,5,2,35
3,4,2,3,1,3,1,2,2,1,3,,2,3,3,2,2,3,2,2,,,1,2,2,3,2,1,2,,1,2,1,16
5,2,2,2,1,2,2,2,3,3,2,1,3,2,2,1,2,4,2,3,4,4,2,2,4,2,2,1,2,2,2,3,1,48
3,4,4,2,3,3,2,3,1,1,3,3,2,2,2,2,3,2,4,2,3,2,1,1,1,2,3,1,2,3,1,2,1,27
4,3,4,2,4,3,0,5,3,2,3,2,4,3,4,3,4,4,4,4,4,2,3,4,3,3,4,2,1,5,3,3,2,18
4,4,,2,2,2,3,3,3,3,,2,3,,2,2,2,3,3,2,,2,2,1,1,,2,,2,3,3,4,1,53
3,5,3,1,4,3,1,2,3,2,4,2,2,4,4,2,2,3,5,4,4,5,4,5,4,2,2,1,2,3,2,3,1,48
3,3,,,3,,2,1,3,3,,,,,,,,,,2,,3,2,,,,,0,3,,,3,2,50
1,4,0,2,1,2,1,2,4,3,0,1,3,0,1,4,0,1,5,1,2,1,0,0,0,0,1,0,0,2,0,3,1,33
4,4,4,4,3,2,1,1,1,2,2,3,4,2,3,2,4,5,4,3,3,5,4,4,3,5,4,4,3,4,2,4,1,55
1,1,1,0,1,1,0,1,3,1,1,1,2,1,2,0,1,2,1,1,1,2,1,1,2,1,0,1,1,1,1,1,2,36
5,5,,0,0,2,0,0,3,5,0,5,5,4,5,4,1,3,4,4,5,5,5,5,4,0,0,0,5,5,5,5,2,56
4,3,3,3,3,3,3,4,3,,2,2,2,2,2,2,2,4,3,4,4,3,1,2,2,2,2,2,3,3,,3,1,27
4,4,,2,2,1,1,3,3,,1,3,3,3,2,3,,2,4,2,,4,3,2,1,1,,2,4,4,3,4,1,23
2,3,,3,3,3,2,2,1,1,3,2,3,,2,3,1,2,3,4,2,3,2,2,2,1,3,0,3,,3,3,1,24
2,2,,2,4,2,3,5,0,5,3,3,3,,,4,4,2,2,5,3,5,0,2,1,0,4,0,5,1,5,5,2,27
4,4,0,5,1,5,4,0,0,2,0,1,2,1,0,1,,,,,,,,,,,,,,,,,2,74
3,3,3,3,3,2,1,2,3,3,3,3,4,3,2,2,,,4,,2,,,2,2,,,3,,3,2,3,1,21
3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,22
4,3,4,4,3,4,1,2,1,3,3,2,5,4,3,2,2,3,4,2,3,3,4,3,2,2,2,2,2,2,4,2,1,24
4,3,,1,2,3,2,2,4,3,2,3,3,3,2,1,1,5,4,3,,2,2,2,1,1,3,1,1,4,3,2,1,22
2,2,2,3,2,2,2,2,3,2,1,2,1,1,2,1,2,3,3,4,3,3,0,2,1,0,1,0,1,4,3,4,1,20
4,4,4,3,1,2,2,1,0,2,2,2,4,3,2,2,2,4,4,3,4,4,4,3,2,2,2,1,2,3,4,4,2,50
1,2,1,2,1,1,2,4,3,2,2,,2,2,1,,2,1,2,3,2,2,,3,,2,1,1,1,,,2,1,22
5,5,4,5,0,0,0,2,3,4,5,4,3,5,5,5,5,5,5,5,5,4,5,3,4,5,4,5,3,4,4,5,1,22
4,4,1,3,4,2,1,3,4,3,1,3,3,3,3,4,2,2,2,4,4,3,2,2,1,2,3,3,3,2,2,3,1,25
5,5,1,1,4,4,3,1,3,4,2,2,4,3,2,1,2,5,5,3,3,4,5,2,3,2,4,1,3,3,2,4,1,49
1,3,0,3,0,0,0,0,5,5,4,2,4,1,2,0,1,1,0,1,3,1,2,1,2,1,1,0,1,2,1,1,2,18
5,5,5,5,4,3,1,3,4,4,5,4,3,4,4,3,3,4,4,4,4,5,3,3,5,3,4,2,3,3,,4,1,21
,4,5,4,2,1,1,0,2,4,,,4,,3,,,0,4,2,,4,3,,,,1,0,1,5,3,4,1,48
1,4,2,5,,2,3,0,0,1,1,,2,,2,1,,4,4,,5,5,1,1,0,0,0,,3,2,2,1,1,34
2,4,0,1,2,1,2,3,2,2,2,2,4,3,2,,3,4,2,3,3,3,1,2,2,1,,0,1,2,4,2,2,27
3,5,3,1,4,3,3,2,3,4,4,4,4,2,3,1,4,4,5,5,4,5,4,4,4,4,5,4,5,5,5,5,2,54
4,4,2,3,1,2,2,1,0,3,3,3,2,2,4,3,3,4,4,3,3,3,3,2,2,3,2,2,3,3,3,4,1,26
5,5,4,3,1,1,3,2,0,1,1,3,3,2,4,3,3,,4,5,5,5,1,0,2,0,5,2,5,3,1,2,1,22
4,4,4,4,4,3,4,1,1,1,2,1,1,1,4,1,1,4,4,5,5,4,1,3,1,1,3,1,1,3,4,3,1,24
4,4,4,2,1,2,1,1,3,3,,3,2,,,,,4,5,3,2,2,3,,1,,4,4,2,4,2,4,1,26
2,5,,4,1,2,2,,1,2,3,5,2,3,1,,3,4,4,4,5,4,1,1,1,1,4,2,3,,2,5,,
3,3,2,2,3,3,2,3,2,2,1,3,1,2,2,1,2,3,4,3,3,4,1,3,1,1,2,3,4,3,3,5,,
2,3,2,1,2,3,2,2,1,2,1,1,2,2,2,1,1,2,3,3,3,4,1,3,1,1,2,1,4,2,2,4,2,35
5,5,5,5,3,4,1,1,0,4,5,5,4,4,5,,5,5,5,5,5,5,4,3,5,4,5,3,4,5,5,5,1,52
3,4,2,2,3,1,1,3,1,1,2,3,4,,3,1,,2,2,3,,3,1,,1,1,,1,,4,3,3,,
2,5,2,0,3,2,2,0,0,1,1,2,1,2,3,3,1,3,5,5,2,5,2,4,0,2,5,3,5,1,1,5,1,26
5,3,5,3,2,0,1,2,4,2,5,3,5,3,2,3,5,5,4,5,5,5,5,5,4,3,5,4,5,5,5,5,2,32
4,4,3,2,1,3,1,,1,2,2,3,2,2,3,1,2,2,3,4,4,4,1,1,,1,2,1,2,3,4,3,2,34
