Sample,Country,Gender,Age,Age Group,lpfsbf1,lpfsbf2,lpfsbf3,lpfsbf4,lpfsbf5,lpfsbf6,lpfsbf7,lpfsbf8,lpfsbf9,lpfsbf10,lpfsbf11,lpfsbf12
1,7,1,-999,1,2,2,1,1,2,2,1,3,3,1,2,1
1,3,1,-999,1,3,2,1,1,2,1,1,2,2,1,1,3
1,3,1,-999,1,3,4,4,1,4,4,4,4,4,4,3,4
1,7,1,-999,1,2,4,1,4,3,2,2,1,4,2,4,2
1,7,1,-999,1,3,1,4,3,3,3,1,1,3,1,2,1
1,7,1,-999,1,2,3,3,1,3,3,3,2,3,2,2,1
1,7,0,-999,1,4,3,3,4,4,2,3,1,4,1,4,2
1,3,0,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,7,1,-999,1,3,3,3,3,2,2,2,3,2,1,2,2
1,7,1,-999,1,2,2,2,2,3,2,1,2,4,1,3,2
1,7,1,-999,1,2,2,2,2,2,3,3,2,2,3,3,2
1,7,0,-999,1,2,4,2,2,4,3,4,1,1,4,4,1
1,7,2,-999,1,3,3,3,3,3,3,2,2,3,3,3,2
1,7,1,-999,1,4,3,3,1,4,4,1,3,3,2,4,2
1,7,1,-999,1,3,3,4,3,3,3,3,3,3,1,3,2
1,7,2,-999,1,4,4,1,3,1,3,1,3,2,4,3,3
1,7,1,-999,1,3,3,3,3,3,3,3,2,3,3,3,2
1,7,1,-999,1,3,2,3,3,4,3,2,3,3,2,3,3
1,7,1,-999,1,3,3,3,3,3,3,2,3,2,3,3,3
1,7,1,-999,1,4,2,3,4,4,3,3,3,3,3,3,3
2,1,0,18,1,1,2,1,3,1,1,1,2,1,1,1,1
2,1,0,18,1,1,1,1,1,1,1,2,1,1,1,1,2
2,1,1,18,1,1,4,3,1,3,1,1,1,1,1,3,1
2,1,0,18,1,2,3,2,3,3,3,2,1,2,1,1,1
2,1,0,18,1,1,1,1,2,1,1,1,2,1,2,1,2
2,1,0,18,1,1,2,1,3,3,3,2,2,2,1,1,1
2,1,0,18,1,1,3,2,4,1,1,2,1,2,1,2,2
2,1,1,18,1,2,3,3,3,2,1,1,1,2,2,3,1
2,1,1,18,1,3,3,4,4,3,3,1,1,1,2,2,3
2,1,1,18,1,3,3,4,3,4,4,1,2,2,1,3,1
2,1,1,18,1,2,1,2,1,1,1,1,2,3,1,2,2
2,1,0,18,1,2,3,2,1,2,1,1,1,2,1,4,2
2,1,0,18,1,2,2,2,1,2,3,1,2,2,1,4,1
2,1,1,18,1,1,3,3,2,3,3,1,2,3,1,2,2
2,1,0,18,1,4,3,2,2,2,3,2,1,2,1,3,2
2,1,1,18,1,2,3,3,1,3,2,2,1,2,2,3,2
2,1,0,18,1,2,3,3,2,4,3,1,3,2,1,3,2
2,1,0,18,1,3,3,3,2,3,4,2,3,2,1,1,3
2,1,0,18,1,4,4,4,4,4,3,2,1,1,3,3,2
2,1,0,18,1,3,3,4,3,3,1,2,3,1,1,3,3
2,1,0,18,1,2,2,1,2,2,2,2,3,2,2,2,3
2,1,0,18,1,2,2,2,2,2,2,3,2,2,2,3,2
2,1,0,18,1,3,3,3,1,2,2,2,3,2,2,3,2
